Store Number,Name,Address,City,State,Zip Code,Phone Number,Service
p-1,Fuju At Kendall,300 3rd Street,Cambridge,MA,02142,617-252-0088,Food
p-2,The Squeaky Beaker,675 W Kendall St,Cambridge,MA,02142,617-679-0108,Food
p-3,Saladworks,100 Cambridgeside Pl,Cambridge,MA,02141,617-374-8888,Food
p-4,Aceituna Cafe,605 W Kendall St,Cambridge,MA,02142,617-252-0707,Food
p-5,Olive Cafe,43 Gore St,Cambridge,MA,02141,617-876-4189,Food
p-6,Sunset Cafe,851 Cambridge St,Cambridge,MA,02141,617-547-2938,Food
p-7,Quiznos,600 Technology Sq,Cambridge,MA,02139,617-225-7827,Food
p-8,Muqueca Restaurant,1008 Cambridge St,Cambridge,MA,02139,617-354-3296,Food
p-9,Cafe Podima,156 Cambridge St,Boston,MA,02114,617-227-4949,Food
p-10,Cinderella's,901 Main St,Cambridge,MA,02139,617-576-0280,Food